BEEID,CNUM,CHOICE,SYM,LOWNUM,HIGHNUM,SHAPE
10,12,1,A,4,10,SQUARE
10,13,1,A,4,10,SQUARE
10,14,1,A,4,10,SQUARE
10,15,0,A,4,10,SQUARE
10,16,0,A,4,10,SQUARE
10,17,0,A,4,10,SQUARE
10,18,0,A,4,10,SQUARE
10,19,1,A,4,10,SQUARE
10,20,0,A,4,8,TRIANGLE
10,21,0,A,4,8,TRIANGLE
10,22,0,A,4,8,TRIANGLE
10,23,1,A,4,8,TRIANGLE
10,24,1,A,4,8,TRIANGLE
10,25,0,A,4,8,TRIANGLE
10,26,0,A,4,8,TRIANGLE
10,27,0,A,4,8,TRIANGLE
10,28,1,A,4,8,TRIANGLE
10,29,0,A,4,8,TRIANGLE
10,30,0,A,4,8,TRIANGLE
10,31,1,A,4,10,CIRCLE
10,32,0,A,4,10,CIRCLE
10,33,0,A,4,10,CIRCLE
10,34,0,A,4,10,CIRCLE
10,35,0,A,4,10,CIRCLE
10,36,1,A,4,10,CIRCLE
10,37,0,A,4,10,CIRCLE
10,38,1,A,4,10,CIRCLE
10,39,0,A,6,8,STAR
10,40,0,A,6,8,STAR
10,41,1,A,6,8,STAR
10,42,0,A,6,8,STAR
10,43,0,A,6,8,STAR
10,44,0,A,6,8,STAR
10,45,0,A,6,8,STAR
10,46,1,A,6,8,STAR
10,47,1,A,6,8,STAR
10,48,1,A,6,8,STAR
10,49,0,A,6,8,STAR
10,50,0,A,6,8,STAR
10,51,1,A,6,8,STAR
10,52,0,A,8,10,SQUARE
10,53,1,A,8,10,SQUARE
10,54,0,A,8,10,SQUARE
10,55,0,A,8,10,SQUARE
10,56,0,A,8,10,SQUARE
10,57,0,A,8,10,SQUARE
10,58,1,A,8,10,SQUARE
10,59,1,A,8,10,SQUARE
10,60,1,A,8,10,SQUARE
10,61,1,A,4,8,TRIANGLE
10,62,1,A,4,8,TRIANGLE
10,63,1,A,4,8,TRIANGLE
10,64,1,A,4,8,TRIANGLE
10,65,0,A,4,8,TRIANGLE
10,66,1,A,6,8,CIRCLE
10,67,0,A,6,8,CIRCLE
10,68,0,A,6,8,CIRCLE
10,69,0,A,6,8,CIRCLE
10,70,1,A,6,8,CIRCLE
10,71,0,A,6,8,CIRCLE
10,72,1,A,6,8,CIRCLE
10,73,0,A,4,10,STAR
10,74,0,A,4,10,STAR
10,75,0,A,4,10,STAR
10,76,0,A,4,10,STAR
10,77,0,A,4,10,STAR
10,78,0,A,4,10,STAR
10,79,0,A,4,10,STAR
10,80,0,A,4,10,STAR
10,81,1,A,4,10,STAR
10,82,1,A,4,10,STAR
10,83,1,A,4,10,STAR
10,84,1,A,4,10,STAR
10,85,1,A,4,8,SQUARE
10,86,1,A,4,8,SQUARE
10,87,1,A,4,8,SQUARE
10,88,0,A,4,6,TRIANGLE
10,89,1,A,4,6,TRIANGLE
10,90,0,A,4,6,TRIANGLE
10,91,0,A,4,6,TRIANGLE
10,92,1,A,4,6,TRIANGLE
10,93,1,A,4,6,TRIANGLE
10,94,1,A,4,6,TRIANGLE
10,95,1,A,8,10,CIRCLE
10,96,1,A,8,10,CIRCLE
10,97,1,A,8,10,CIRCLE
10,98,1,A,8,10,CIRCLE
10,99,1,A,8,10,CIRCLE
10,100,0,A,8,10,CIRCLE
11,1,0,A,6,10,SQUARE
11,2,0,A,6,10,SQUARE
11,3,0,A,6,10,SQUARE
11,4,0,A,6,10,SQUARE
11,5,0,A,6,10,SQUARE
11,6,0,A,6,10,SQUARE
11,7,1,A,6,10,SQUARE
11,8,0,A,6,10,SQUARE
11,9,1,A,6,10,SQUARE
11,10,0,A,4,8,TRIANGLE
11,11,0,A,4,8,TRIANGLE
11,12,1,A,4,8,TRIANGLE
11,13,0,A,4,8,TRIANGLE
11,14,1,A,4,8,TRIANGLE
11,15,1,A,4,8,TRIANGLE
11,16,1,A,4,8,TRIANGLE
11,17,0,A,4,8,TRIANGLE
11,18,0,A,4,8,TRIANGLE
11,19,0,A,4,8,TRIANGLE
11,20,0,A,4,8,TRIANGLE
11,21,0,A,4,8,TRIANGLE
11,22,1,A,4,8,TRIANGLE
11,23,0,A,4,8,TRIANGLE
11,24,1,A,4,8,TRIANGLE
11,25,1,A,4,6,CIRCLE
11,26,0,A,4,6,CIRCLE
11,27,0,A,4,6,CIRCLE
11,28,0,A,4,6,CIRCLE
11,29,0,A,4,6,CIRCLE
11,30,0,A,4,6,CIRCLE
11,31,0,A,4,6,CIRCLE
11,32,0,A,4,6,CIRCLE
11,33,1,A,4,6,CIRCLE
11,34,1,A,4,6,CIRCLE
11,35,0,A,6,8,STAR
11,36,1,A,6,8,STAR
11,37,1,A,6,8,STAR
11,38,0,A,6,8,STAR
11,39,1,A,6,8,STAR
11,40,0,A,6,8,STAR
11,41,1,A,6,8,STAR
11,42,1,A,8,10,SQUARE
11,43,1,A,8,10,SQUARE
11,44,1,A,8,10,SQUARE
11,45,1,A,8,10,SQUARE
11,46,1,A,8,10,SQUARE
11,47,1,A,4,8,TRIANGLE
11,48,0,A,4,8,TRIANGLE
11,49,1,A,4,8,TRIANGLE
11,50,1,A,4,8,TRIANGLE
11,51,1,A,6,8,CIRCLE
11,52,1,A,6,8,CIRCLE
11,53,1,A,6,8,CIRCLE
11,54,1,A,8,10,STAR
11,55,1,A,8,10,STAR
11,56,0,A,8,10,STAR
11,57,1,A,8,10,STAR
11,58,1,A,8,10,STAR
11,59,1,A,8,10,STAR
11,60,1,A,6,10,SQUARE
11,61,1,A,6,10,SQUARE
11,62,1,A,6,10,SQUARE
11,63,1,A,4,6,TRIANGLE
11,64,1,A,4,6,TRIANGLE
11,65,1,A,4,6,TRIANGLE
11,66,1,A,4,6,TRIANGLE
11,67,0,A,4,6,TRIANGLE
11,68,1,A,4,6,TRIANGLE
11,69,0,A,6,10,CIRCLE
11,70,0,A,6,10,CIRCLE
11,71,1,A,6,10,CIRCLE
11,72,1,A,6,10,CIRCLE
11,73,1,A,6,10,CIRCLE
11,74,1,A,6,10,CIRCLE
11,75,1,A,6,10,STAR
11,76,1,A,6,10,STAR
11,77,1,A,6,10,STAR
11,78,1,A,4,8,SQUARE
11,79,1,A,4,8,SQUARE
11,80,1,A,4,8,SQUARE
11,81,0,A,4,8,SQUARE
11,82,0,A,4,8,SQUARE
11,83,1,A,4,8,SQUARE
11,84,1,A,4,8,SQUARE
11,85,1,A,4,8,SQUARE
11,86,0,A,4,8,SQUARE
11,87,1,A,4,8,SQUARE
11,88,1,A,4,8,SQUARE
11,89,1,A,4,8,TRIANGLE
11,90,0,A,4,8,TRIANGLE
11,91,0,A,4,8,TRIANGLE
11,92,0,A,4,8,TRIANGLE
11,93,1,A,4,8,TRIANGLE
11,94,1,A,4,8,TRIANGLE
11,95,1,A,6,10,CIRCLE
11,96,1,A,6,10,CIRCLE
11,97,1,A,6,10,CIRCLE
11,98,1,A,6,10,CIRCLE
11,99,1,A,6,10,CIRCLE
11,100,1,A,6,10,CIRCLE
12,1,0,A,6,10,SQUARE
12,2,0,A,6,10,SQUARE
12,3,0,A,6,10,SQUARE
12,4,0,A,6,10,SQUARE
12,5,0,A,6,10,SQUARE
12,6,0,A,6,10,SQUARE
12,7,1,A,6,10,SQUARE
12,8,0,A,6,10,SQUARE
12,9,1,A,6,10,SQUARE
12,10,0,A,4,8,TRIANGLE
12,11,0,A,4,8,TRIANGLE
12,12,1,A,4,8,TRIANGLE
12,13,0,A,4,8,TRIANGLE
12,14,1,A,4,8,TRIANGLE
12,15,1,A,4,8,TRIANGLE
12,16,1,A,4,8,TRIANGLE
12,17,0,A,4,8,TRIANGLE
12,18,0,A,4,8,TRIANGLE
12,19,0,A,4,8,TRIANGLE
12,20,0,A,4,8,TRIANGLE
12,21,0,A,4,8,TRIANGLE
12,22,1,A,4,8,TRIANGLE
12,23,0,A,4,8,TRIANGLE
12,24,1,A,4,8,TRIANGLE
12,25,1,A,4,6,CIRCLE
12,26,0,A,4,6,CIRCLE
12,27,0,A,4,6,CIRCLE
12,28,0,A,4,6,CIRCLE
12,29,0,A,4,6,CIRCLE
12,30,0,A,4,6,CIRCLE
12,31,0,A,4,6,CIRCLE
12,32,0,A,4,6,CIRCLE
12,33,1,A,4,6,CIRCLE
12,34,1,A,4,6,CIRCLE
12,35,0,A,6,8,STAR
12,36,1,A,6,8,STAR
12,37,1,A,6,8,STAR
12,38,0,A,6,8,STAR
12,39,1,A,6,8,STAR
12,40,0,A,6,8,STAR
12,41,1,A,6,8,STAR
12,42,1,A,8,10,SQUARE
12,43,1,A,8,10,SQUARE
12,44,1,A,8,10,SQUARE
12,45,1,A,8,10,SQUARE
12,46,1,A,8,10,SQUARE
12,47,1,A,4,8,TRIANGLE
12,48,0,A,4,8,TRIANGLE
12,49,1,A,4,8,TRIANGLE
12,50,1,A,4,8,TRIANGLE
12,51,1,A,6,8,CIRCLE
12,52,1,A,6,8,CIRCLE
12,53,1,A,6,8,CIRCLE
12,54,1,A,8,10,STAR
12,55,1,A,8,10,STAR
12,56,0,A,8,10,STAR
12,57,1,A,8,10,STAR
12,58,1,A,8,10,STAR
12,59,1,A,8,10,STAR
12,60,1,A,6,10,SQUARE
12,61,1,A,6,10,SQUARE
12,62,1,A,6,10,SQUARE
12,63,1,A,4,6,TRIANGLE
12,64,1,A,4,6,TRIANGLE
12,65,1,A,4,6,TRIANGLE
12,66,1,A,4,6,TRIANGLE
12,67,0,A,4,6,TRIANGLE
12,68,1,A,4,6,TRIANGLE
12,69,0,A,6,10,CIRCLE
12,70,0,A,6,10,CIRCLE
12,71,1,A,6,10,CIRCLE
12,72,1,A,6,10,CIRCLE
12,73,1,A,6,10,CIRCLE
12,74,1,A,6,10,CIRCLE
12,75,1,A,6,10,STAR
12,76,1,A,6,10,STAR
12,77,1,A,6,10,STAR
12,78,1,A,4,8,SQUARE
12,79,1,A,4,8,SQUARE
12,80,1,A,4,8,SQUARE
12,81,0,A,4,8,SQUARE
12,82,0,A,4,8,SQUARE
12,83,1,A,4,8,SQUARE
12,84,1,A,4,8,SQUARE
12,85,1,A,4,8,SQUARE
12,86,0,A,4,8,SQUARE
12,87,1,A,4,8,SQUARE
12,88,1,A,4,8,SQUARE
12,89,1,A,4,8,TRIANGLE
12,90,0,A,4,8,TRIANGLE
12,91,0,A,4,8,TRIANGLE
12,92,0,A,4,8,TRIANGLE
12,93,1,A,4,8,TRIANGLE
12,94,1,A,4,8,TRIANGLE
12,95,1,A,6,10,CIRCLE
12,96,1,A,6,10,CIRCLE
12,97,1,A,6,10,CIRCLE
12,98,1,A,6,10,CIRCLE
12,99,1,A,6,10,CIRCLE
12,100,1,A,6,10,CIRCLE
13,1,1,A,4,8,SQUARE
13,2,1,A,4,8,SQUARE
13,3,1,A,4,10,TRIANGLE
13,4,0,A,4,10,TRIANGLE
13,5,0,A,4,10,TRIANGLE
13,6,0,A,4,10,TRIANGLE
13,7,0,A,4,10,TRIANGLE
13,8,0,A,4,10,TRIANGLE
13,9,1,A,4,10,TRIANGLE
13,10,1,A,4,10,TRIANGLE
13,11,1,A,4,8,CIRCLE
13,12,1,A,4,8,CIRCLE
13,13,1,A,4,8,CIRCLE
13,14,0,A,4,8,CIRCLE
13,15,0,A,4,8,CIRCLE
13,16,1,A,4,8,CIRCLE
13,17,1,A,4,8,CIRCLE
13,18,1,A,4,8,CIRCLE
13,19,1,A,6,8,STAR
13,20,1,A,6,8,STAR
13,21,1,A,6,8,STAR
13,22,1,A,6,8,STAR
13,23,0,A,8,10,SQUARE
13,24,0,A,8,10,SQUARE
13,25,0,A,8,10,SQUARE
13,26,1,A,8,10,SQUARE
13,27,0,A,8,10,SQUARE
13,28,1,A,8,10,SQUARE
13,29,0,A,8,10,SQUARE
13,30,1,A,8,10,SQUARE
13,31,1,A,8,10,SQUARE
13,32,0,A,8,10,TRIANGLE
13,33,0,A,8,10,TRIANGLE
13,34,0,A,8,10,TRIANGLE
13,35,1,A,8,10,TRIANGLE
13,36,1,A,8,10,TRIANGLE
13,37,0,A,6,10,CIRCLE
13,38,1,A,6,10,CIRCLE
13,39,1,A,6,10,CIRCLE
